ego_label,seed_strategy,propagation_regime,propagation_mode,severity_regime,budget_requested,method,mean_total_harm,mean_worst_community_harm_rate,delta_harm_vs_greedy,delta_worst_harm_vs_greedy,delta_harm_vs_fairness,delta_worst_harm_vs_fairness
moderate_large_circles,community_concentrated,medium,bucket,high,20,harm_aware_greedy_blocking,99.67500000000008,0.9507453208556153,0.0,0.0,0.0,0.0
moderate_large_circles,community_concentrated,medium,bucket,high,20,harm_aware_resilience_greedy_blocking,99.67500000000008,0.9507453208556153,0.0,0.0,0.0,0.0
moderate_large_circles,community_concentrated,medium,bucket,medium,20,harm_aware_greedy_blocking,60.90000000000002,0.590534759358289,0.0,0.0,0.0,0.0
moderate_large_circles,community_concentrated,medium,bucket,medium,20,harm_aware_resilience_greedy_blocking,60.90000000000002,0.590534759358289,0.0,0.0,0.0,0.0
moderate_large_circles,community_concentrated,medium,constant,high,20,harm_aware_greedy_blocking,91.35000000000004,0.8858021390374333,0.0,0.0,0.0,0.0
moderate_large_circles,community_concentrated,medium,constant,high,20,harm_aware_resilience_greedy_blocking,91.35000000000004,0.8858021390374333,0.0,0.0,0.0,0.0
moderate_large_circles,community_concentrated,medium,constant,medium,20,harm_aware_greedy_blocking,60.90000000000002,0.590534759358289,0.0,0.0,0.0,0.0
moderate_large_circles,community_concentrated,medium,constant,medium,20,harm_aware_resilience_greedy_blocking,60.90000000000002,0.590534759358289,0.0,0.0,0.0,0.0
moderate_large_circles,high_degree,high,bucket,high,20,harm_aware_greedy_blocking,157.5000000000002,1.289398395721926,0.0,0.0,0.0,0.0
moderate_large_circles,high_degree,high,bucket,high,20,harm_aware_resilience_greedy_blocking,157.5000000000002,1.289398395721926,0.0,0.0,0.0,0.0
moderate_large_circles,high_degree,high,bucket,medium,20,harm_aware_greedy_blocking,97.54999999999993,0.8241958041958042,0.0,0.0,0.0,0.0
moderate_large_circles,high_degree,high,bucket,medium,20,harm_aware_resilience_greedy_blocking,97.54999999999993,0.8241958041958042,0.0,0.0,0.0,0.0
moderate_large_circles,high_degree,high,constant,high,20,harm_aware_greedy_blocking,146.3250000000002,1.236293706293707,0.0,0.0,0.0,0.0
moderate_large_circles,high_degree,high,constant,high,20,harm_aware_resilience_greedy_blocking,146.3250000000002,1.236293706293707,0.0,0.0,0.0,0.0
moderate_large_circles,high_degree,high,constant,medium,20,harm_aware_greedy_blocking,97.54999999999993,0.8241958041958042,0.0,0.0,0.0,0.0
moderate_large_circles,high_degree,high,constant,medium,20,harm_aware_resilience_greedy_blocking,97.54999999999993,0.8241958041958042,0.0,0.0,0.0,0.0
moderate_large_circles,high_degree,medium,bucket,high,20,harm_aware_greedy_blocking,101.92500000000008,0.9253676470588236,0.0,0.0,0.0,0.0
moderate_large_circles,high_degree,medium,bucket,high,20,harm_aware_resilience_greedy_blocking,101.92500000000008,0.9253676470588236,0.0,0.0,0.0,0.0
moderate_large_circles,high_degree,medium,bucket,medium,20,harm_aware_greedy_blocking,63.450000000000024,0.5903208556149735,0.0,0.0,0.0,0.0
moderate_large_circles,high_degree,medium,bucket,medium,20,harm_aware_resilience_greedy_blocking,63.450000000000024,0.5903208556149735,0.0,0.0,0.0,0.0
moderate_large_circles,high_degree,medium,constant,high,20,harm_aware_greedy_blocking,95.17500000000004,0.8854812834224599,0.0,0.0,0.0,0.0
moderate_large_circles,high_degree,medium,constant,high,20,harm_aware_resilience_greedy_blocking,95.17500000000004,0.8854812834224599,0.0,0.0,0.0,0.0
moderate_large_circles,high_degree,medium,constant,medium,20,harm_aware_greedy_blocking,63.450000000000024,0.5903208556149735,0.0,0.0,0.0,0.0
moderate_large_circles,high_degree,medium,constant,medium,20,harm_aware_resilience_greedy_blocking,63.450000000000024,0.5903208556149735,0.0,0.0,0.0,0.0
large_circles,community_concentrated,medium,bucket,high,10,harm_aware_resilience_greedy_blocking,85.42500000000004,0.7879464285714285,0.07500000000000284,0.018750000000000044,-0.9749999999999943,-0.001339285714285654
moderate_large_circles,high_degree,high,constant,medium,10,harm_aware_resilience_greedy_blocking,121.44999999999982,0.9802941176470584,0.09999999999999432,-0.07248663101604269,1.1999999999999744,-0.0085160427807488
moderate_large_circles,community_concentrated,medium,bucket,medium,10,harm_aware_resilience_greedy_blocking,75.89999999999998,0.6850802139037435,0.09999999999999432,-0.002673796791443861,-0.5500000000000114,0.015046791443850238
large_circles,community_concentrated,medium,constant,high,10,harm_aware_greedy_blocking,78.60000000000002,0.7627976190476189,0.15000000000000568,0.035267857142857184,-0.6000000000000085,-0.020238095238095388
large_circles,community_concentrated,medium,bucket,medium,10,harm_aware_resilience_greedy_blocking,52.200000000000024,0.4866071428571428,0.2500000000000071,0.026686507936507897,0.30000000000000426,0.04623015873015868
moderate_large_circles,community_concentrated,medium,bucket,medium,10,harm_aware_greedy_blocking,76.09999999999998,0.6749732620320859,0.29999999999999716,-0.012780748663101527,-0.3500000000000085,0.0049398395721925725
large_circles,community_concentrated,high,constant,medium,10,harm_aware_resilience_greedy_blocking,111.64999999999986,0.92245082815735,0.35000000000002274,-0.04500948930296733,-0.5999999999999943,0.11411512249827482
